id,Composition,FormationEnergy
757,Sm2AgRu,-0.259881311
758,SmTlAg2,-0.25107653
759,AcCd3,-0.275183363
760,DyAgHg2,-0.334430733
761,SrAcHg2,-0.525737892
762,TlAg3Te2,0.089578196
763,CsAg5Te3,-0.304489627
764,ErAgGe,-0.408582729
765,YbAgSb,-0.730532309
766,LiAg2Ge,-0.161715789
767,ZrAgB,0.884009711
768,Na3AgS2,-1.094276939
769,Ag2HgS2,-0.322371118
770,V3Ag,0.368976055
771,TmMgAg2,-0.30749034
772,YDyAg2,-0.333829115
773,Tm2ZnAg,-0.337738135
774,YbAc3,0.037766552
775,YErAg2,-0.337144815
776,Sm2AgSn,-0.528550548
777,Sm2TlAg,-0.33162505
778,SmAg3,-0.204444034
779,Sm(AgGe)2,-0.400615264
780,Sc2AlAg,-0.360360372
781,HoErAg2,-0.337873442
782,MgInAg2,-0.162386116
783,NaAg3,0.001978956
784,ScAgO2,-2.639885978
785,FeAg3,0.34801546
786,Lu2GaAg,-0.469227759
787,Nd3Ag,0.021622451
788,Nd2AgHg,-0.368304178
789,ReAg3,0.896424313
790,LiAg2Pd,-0.21048434
791,Rb3Ac,0.466088358
792,NdTlAg2,-0.255351804
793,Rb3Ag,0.121305243
794,Rb3Ac,0.464446091
795,RbAc3,0.378249009
796,RbAgO3,-0.472700379
797,RbAcO3,-2.24830374
798,RbAc3,0.374430557
799,Pr3Ag,0.01475036
800,PrTlAg2,-0.255530363
801,PrMgAg2,-0.285208661
802,NaAc,0.173042974
803,NaAc2Pb,-0.216136053
804,NaAc2Sn,-0.292976095
805,KAgO3,-0.513121715
806,NaInAg2,-0.080038159
807,Li2AcTl,-0.205646297
808,Nd2ZnAg,-0.27591697
809,Li3Ac,0.177469816
810,Li3Ag,-0.159600822
811,K3Ag,0.101248033
812,NiAg3,0.189123135
813,NiAg3,0.194524405
814,Li3Ag,-0.15007036
815,Ac2S3,-2.531325294
816,AcF3,-4.435462459
817,ErCdAg2,-0.283731683
818,TbAgHg2,-0.346729844
819,TbAlAg2,-0.332235494
820,TbCdAg2,-0.289675254
821,Er2AgIr,-0.64259058
822,PaAgAu2,-0.291379717
823,PaAgO3,-2.857549419
824,ErAlAg2,-0.331147688
825,MgScAg2,-0.290585396
826,YbAgGe,-0.497818969
827,La3Ag,-0.013605659
828,SmAg2Hg,-0.26011623
829,Si3Ag,0.532917495
830,Sm2AgHg,-0.379671023
831,Sm3Ag,0.020497527
832,Si3Ag,0.562928422
833,Sm2InAg,-0.387769235
834,TbTlAg2,-0.244379029
835,SrAcZn2,-0.223761797
836,SrAcTl2,-0.391675422
837,SrAc3,0.063838397
838,Sm2ZnAg,-0.29562677
839,Ti2Ag,-0.055690641
840,UAg3,0.385801421
841,YHoAg2,-0.335474602
842,Sm3Ag,0.018799365
